"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 01:56:37 GMT-03:00 2023","Fri Nov 03 01:56:41 GMT-03:00 2023","4124","","Cadastro de usuario no site nopcommerce","","","","Efetuar validação de erro ao inserir email inválido",""
"passed","Fri Nov 03 01:56:22 GMT-03:00 2023","Fri Nov 03 01:56:30 GMT-03:00 2023","7442","","Cadastro de usuario no site nopcommerce","","","","Efetuar cadastro de usuario inserindo somente campos obrigatorios",""
"passed","Fri Nov 03 01:56:30 GMT-03:00 2023","Fri Nov 03 01:56:37 GMT-03:00 2023","6528","","Cadastro de usuario no site nopcommerce","","","","Efetuar cadastro de usuário inserindo todos os campos do formulário",""
"passed","Fri Nov 03 01:56:41 GMT-03:00 2023","Fri Nov 03 01:56:44 GMT-03:00 2023","3207","","Cadastro de usuario no site nopcommerce","","","","Efetuar validação de erros ao submeter formulário vazio",""
